Pipeline,Date,Rate Schedule,Receipt Point,Receipt Zone,Delivery Point,Delivery Zone,Tariff Rate Type,Tariff Rate,Magnitude,Tariff Rate Structure,Rate Zone
"ETC Tiger Pipeline, LLC",07/01/2018,FTS,Acadian IC | 79022,East Of Hwy 789,ANR | 78542,East Of Hwy 789,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Calicutt #1 Well | 21609,Main,Bayou Dinde City Gate | 20709,Local,Reservation,0.33800,$/Dth/day ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Calicutt #1 Well | 21609,Main,Bayou Dinde City Gate | 20709,Local,Reservation,0.08560,$/Dth/day ,Gathering,Gathering Locations
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Calicutt #1 Well | 21609,Main,Avoyelles-Rapides Aggregate | 23404,Main,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Calicutt #1 Well | 21609,Main,Avoyelles-Rapides Aggregate | 23404,Main,Commodity,0.01250,$/Dth     ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Calicutt #1 Well | 21609,Main,Avoyelles-Rapides Aggregate | 23404,Main,Commodity,0.00360,$/Dth     ,Gathering,Gathering Locations
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Calicutt #1 Well | 21609,Main,Avoyelles-Rapides Aggregate | 23404,Main,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Calicutt #1 Well | 21609,Main,Avoyelles-Rapides Aggregate | 23404,Main,Reservation,0.33800,$/Dth/day ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Calicutt #1 Well | 21609,Main,Avoyelles-Rapides Aggregate | 23404,Main,Reservation,0.08560,$/Dth/day ,Gathering,Gathering Locations
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Calicutt #1 Well | 21609,Main,BBT Mississippi Petal Delivery | 23109,System,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Calicutt #1 Well | 21609,Main,BBT Mississippi Petal Delivery | 23109,System,Commodity,0.01250,$/Dth     ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Calicutt #1 Well | 21609,Main,BBT Mississippi Petal Delivery | 23109,System,Commodity,0.00360,$/Dth     ,Gathering,Gathering Locations
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Calicutt #1 Well | 21609,Main,BBT Mississippi Petal Delivery | 23109,System,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Calicutt #1 Well | 21609,Main,BBT Mississippi Petal Delivery | 23109,System,Reservation,0.33800,$/Dth/day ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Calicutt #1 Well | 21609,Main,BBT Mississippi Petal Delivery | 23109,System,Reservation,0.08560,$/Dth/day ,Gathering,Gathering Locations
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Alabama Bend Common Point | 22109,System,Abbeville Asphalt Plant System | 1400132,GCZ,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Alabama Bend Common Point | 22109,System,Abbeville Asphalt Plant System | 1400132,GCZ,Commodity,0.01250,$/Dth     ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Alabama Bend Common Point | 22109,System,Abbeville Asphalt Plant System | 1400132,GCZ,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Alabama Bend Common Point | 22109,System,Abbeville Asphalt Plant System | 1400132,GCZ,Reservation,0.33800,$/Dth/day ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Alabama Bend Common Point | 22109,System,Delhi Madison Parish (To Tennessee Gas) | 24334,Lake Charles,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Alabama Bend Common Point | 22109,System,Delhi Madison Parish (To Tennessee Gas) | 24334,Lake Charles,Commodity,0.01250,$/Dth     ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Alabama Bend Common Point | 22109,System,Delhi Madison Parish (To Tennessee Gas) | 24334,Lake Charles,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Alabama Bend Common Point | 22109,System,Delhi Madison Parish (To Tennessee Gas) | 24334,Lake Charles,Reservation,0.33800,$/Dth/day ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Alabama Bend Common Point | 22109,System,Bayou Dinde City Gate | 20709,Local,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Alabama Bend Common Point | 22109,System,Bayou Dinde City Gate | 20709,Local,Commodity,0.01250,$/Dth     ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Alabama Bend Common Point | 22109,System,Bayou Dinde City Gate | 20709,Local,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Alabama Bend Common Point | 22109,System,Bayou Dinde City Gate | 20709,Local,Reservation,0.33800,$/Dth/day ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Alabama Bend Common Point | 22109,System,Avoyelles-Rapides Aggregate | 23404,Main,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Alabama Bend Common Point | 22109,System,Avoyelles-Rapides Aggregate | 23404,Main,Commodity,0.01250,$/Dth     ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Alabama Bend Common Point | 22109,System,Avoyelles-Rapides Aggregate | 23404,Main,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Alabama Bend Common Point | 22109,System,Avoyelles-Rapides Aggregate | 23404,Main,Reservation,0.33800,$/Dth/day ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Alabama Bend Common Point | 22109,System,BBT Mississippi Petal Delivery | 23109,System,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Alabama Bend Common Point | 22109,System,BBT Mississippi Petal Delivery | 23109,System,Commodity,0.01250,$/Dth     ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Alabama Bend Common Point | 22109,System,BBT Mississippi Petal Delivery | 23109,System,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,Alabama Bend Common Point | 22109,System,BBT Mississippi Petal Delivery | 23109,System,Reservation,0.33800,$/Dth/day ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,A C Goodson #1 Well | 1699,Zone 1,Abbeville Asphalt Plant System | 1400132,GCZ,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,A C Goodson #1 Well | 1699,Zone 1,Abbeville Asphalt Plant System | 1400132,GCZ,Commodity,0.01250,$/Dth     ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,A C Goodson #1 Well | 1699,Zone 1,Abbeville Asphalt Plant System | 1400132,GCZ,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,A C Goodson #1 Well | 1699,Zone 1,Abbeville Asphalt Plant System | 1400132,GCZ,Reservation,0.33800,$/Dth/day ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,A C Goodson #1 Well | 1699,Zone 1,Delhi Madison Parish (To Tennessee Gas) | 24334,Lake Charles,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,A C Goodson #1 Well | 1699,Zone 1,Delhi Madison Parish (To Tennessee Gas) | 24334,Lake Charles,Commodity,0.01250,$/Dth     ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,A C Goodson #1 Well | 1699,Zone 1,Delhi Madison Parish (To Tennessee Gas) | 24334,Lake Charles,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,A C Goodson #1 Well | 1699,Zone 1,Delhi Madison Parish (To Tennessee Gas) | 24334,Lake Charles,Reservation,0.33800,$/Dth/day ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,A C Goodson #1 Well | 1699,Zone 1,Bayou Dinde City Gate | 20709,Local,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,A C Goodson #1 Well | 1699,Zone 1,Bayou Dinde City Gate | 20709,Local,Commodity,0.01250,$/Dth     ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,A C Goodson #1 Well | 1699,Zone 1,Bayou Dinde City Gate | 20709,Local,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,A C Goodson #1 Well | 1699,Zone 1,Bayou Dinde City Gate | 20709,Local,Reservation,0.33800,$/Dth/day ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,A C Goodson #1 Well | 1699,Zone 1,Avoyelles-Rapides Aggregate | 23404,Main,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,A C Goodson #1 Well | 1699,Zone 1,Avoyelles-Rapides Aggregate | 23404,Main,Commodity,0.01250,$/Dth     ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,A C Goodson #1 Well | 1699,Zone 1,Avoyelles-Rapides Aggregate | 23404,Main,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,A C Goodson #1 Well | 1699,Zone 1,Avoyelles-Rapides Aggregate | 23404,Main,Reservation,0.33800,$/Dth/day ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,A C Goodson #1 Well | 1699,Zone 1,BBT Mississippi Petal Delivery | 23109,System,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,A C Goodson #1 Well | 1699,Zone 1,BBT Mississippi Petal Delivery | 23109,System,Commodity,0.01250,$/Dth     ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,A C Goodson #1 Well | 1699,Zone 1,BBT Mississippi Petal Delivery | 23109,System,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS,A C Goodson #1 Well | 1699,Zone 1,BBT Mississippi Petal Delivery | 23109,System,Reservation,0.33800,$/Dth/day ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Tristate Midstream  Harrison County TX | 21734,GCZ,Abbeville Asphalt Plant System | 1400132,GCZ,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Tristate Midstream  Harrison County TX | 21734,GCZ,Delhi Madison Parish (To Tennessee Gas) | 24334,Lake Charles,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Tristate Midstream  Harrison County TX | 21734,GCZ,Bayou Dinde City Gate | 20709,Local,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Tristate Midstream  Harrison County TX | 21734,GCZ,Avoyelles-Rapides Aggregate | 23404,Main,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Tristate Midstream  Harrison County TX | 21734,GCZ,BBT Mississippi Petal Delivery | 23109,System,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,(Sherman From Enterprise) | 22329,Lake Charles,Abbeville Asphalt Plant System | 1400132,GCZ,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,(Sherman From Enterprise) | 22329,Lake Charles,Delhi Madison Parish (To Tennessee Gas) | 24334,Lake Charles,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,(Sherman From Enterprise) | 22329,Lake Charles,Bayou Dinde City Gate | 20709,Local,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,(Sherman From Enterprise) | 22329,Lake Charles,Avoyelles-Rapides Aggregate | 23404,Main,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,(Sherman From Enterprise) | 22329,Lake Charles,BBT Mississippi Petal Delivery | 23109,System,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Big Lake Road (From Trunkline LNG) | 21677,Local,Abbeville Asphalt Plant System | 1400132,GCZ,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Big Lake Road (From Trunkline LNG) | 21677,Local,Delhi Madison Parish (To Tennessee Gas) | 24334,Lake Charles,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Big Lake Road (From Trunkline LNG) | 21677,Local,Bayou Dinde City Gate | 20709,Local,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Big Lake Road (From Trunkline LNG) | 21677,Local,Avoyelles-Rapides Aggregate | 23404,Main,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Big Lake Road (From Trunkline LNG) | 21677,Local,BBT Mississippi Petal Delivery | 23109,System,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Calicutt #1 Well | 21609,Main,Abbeville Asphalt Plant System | 1400132,GCZ,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Calicutt #1 Well | 21609,Main,Abbeville Asphalt Plant System | 1400132,GCZ,Commodity,0.00360,$/Dth     ,Gathering,Gathering Locations
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Calicutt #1 Well | 21609,Main,Abbeville Asphalt Plant System | 1400132,GCZ,Reservation,0.08560,$/Dth/day ,Gathering,Gathering Locations
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Calicutt #1 Well | 21609,Main,Delhi Madison Parish (To Tennessee Gas) | 24334,Lake Charles,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Calicutt #1 Well | 21609,Main,Delhi Madison Parish (To Tennessee Gas) | 24334,Lake Charles,Commodity,0.00360,$/Dth     ,Gathering,Gathering Locations
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Calicutt #1 Well | 21609,Main,Delhi Madison Parish (To Tennessee Gas) | 24334,Lake Charles,Reservation,0.08560,$/Dth/day ,Gathering,Gathering Locations
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Calicutt #1 Well | 21609,Main,Bayou Dinde City Gate | 20709,Local,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Calicutt #1 Well | 21609,Main,Bayou Dinde City Gate | 20709,Local,Commodity,0.00360,$/Dth     ,Gathering,Gathering Locations
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Calicutt #1 Well | 21609,Main,Bayou Dinde City Gate | 20709,Local,Reservation,0.08560,$/Dth/day ,Gathering,Gathering Locations
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Calicutt #1 Well | 21609,Main,Avoyelles-Rapides Aggregate | 23404,Main,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Calicutt #1 Well | 21609,Main,Avoyelles-Rapides Aggregate | 23404,Main,Commodity,0.00360,$/Dth     ,Gathering,Gathering Locations
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Calicutt #1 Well | 21609,Main,Avoyelles-Rapides Aggregate | 23404,Main,Reservation,0.08560,$/Dth/day ,Gathering,Gathering Locations
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Calicutt #1 Well | 21609,Main,BBT Mississippi Petal Delivery | 23109,System,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Calicutt #1 Well | 21609,Main,BBT Mississippi Petal Delivery | 23109,System,Commodity,0.00360,$/Dth     ,Gathering,Gathering Locations
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Calicutt #1 Well | 21609,Main,BBT Mississippi Petal Delivery | 23109,System,Reservation,0.08560,$/Dth/day ,Gathering,Gathering Locations
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Alabama Bend Common Point | 22109,System,Abbeville Asphalt Plant System | 1400132,GCZ,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Alabama Bend Common Point | 22109,System,Delhi Madison Parish (To Tennessee Gas) | 24334,Lake Charles,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Alabama Bend Common Point | 22109,System,Bayou Dinde City Gate | 20709,Local,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Alabama Bend Common Point | 22109,System,Avoyelles-Rapides Aggregate | 23404,Main,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,Alabama Bend Common Point | 22109,System,BBT Mississippi Petal Delivery | 23109,System,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,A C Goodson #1 Well | 1699,Zone 1,Abbeville Asphalt Plant System | 1400132,GCZ,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,A C Goodson #1 Well | 1699,Zone 1,Delhi Madison Parish (To Tennessee Gas) | 24334,Lake Charles,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,A C Goodson #1 Well | 1699,Zone 1,Bayou Dinde City Gate | 20709,Local,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,A C Goodson #1 Well | 1699,Zone 1,Avoyelles-Rapides Aggregate | 23404,Main,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-A,A C Goodson #1 Well | 1699,Zone 1,BBT Mississippi Petal Delivery | 23109,System,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Tristate Midstream  Harrison County TX | 21734,GCZ,Abbeville Asphalt Plant System | 1400132,GCZ,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Tristate Midstream  Harrison County TX | 21734,GCZ,Delhi Madison Parish (To Tennessee Gas) | 24334,Lake Charles,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Tristate Midstream  Harrison County TX | 21734,GCZ,Bayou Dinde City Gate | 20709,Local,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Tristate Midstream  Harrison County TX | 21734,GCZ,Avoyelles-Rapides Aggregate | 23404,Main,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Tristate Midstream  Harrison County TX | 21734,GCZ,BBT Mississippi Petal Delivery | 23109,System,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,(Sherman From Enterprise) | 22329,Lake Charles,Abbeville Asphalt Plant System | 1400132,GCZ,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,(Sherman From Enterprise) | 22329,Lake Charles,Delhi Madison Parish (To Tennessee Gas) | 24334,Lake Charles,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,(Sherman From Enterprise) | 22329,Lake Charles,Bayou Dinde City Gate | 20709,Local,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,(Sherman From Enterprise) | 22329,Lake Charles,Avoyelles-Rapides Aggregate | 23404,Main,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,(Sherman From Enterprise) | 22329,Lake Charles,BBT Mississippi Petal Delivery | 23109,System,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Big Lake Road (From Trunkline LNG) | 21677,Local,Abbeville Asphalt Plant System | 1400132,GCZ,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Big Lake Road (From Trunkline LNG) | 21677,Local,Delhi Madison Parish (To Tennessee Gas) | 24334,Lake Charles,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Big Lake Road (From Trunkline LNG) | 21677,Local,Bayou Dinde City Gate | 20709,Local,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Big Lake Road (From Trunkline LNG) | 21677,Local,Avoyelles-Rapides Aggregate | 23404,Main,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Big Lake Road (From Trunkline LNG) | 21677,Local,BBT Mississippi Petal Delivery | 23109,System,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Calicutt #1 Well | 21609,Main,Abbeville Asphalt Plant System | 1400132,GCZ,Commodity,0.08560,$/Dth     ,Gathering,Gathering Locations
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Calicutt #1 Well | 21609,Main,Abbeville Asphalt Plant System | 1400132,GCZ,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Calicutt #1 Well | 21609,Main,Abbeville Asphalt Plant System | 1400132,GCZ,Reservation,0.00360,$/Dth/day ,Gathering,Gathering Locations
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Calicutt #1 Well | 21609,Main,Delhi Madison Parish (To Tennessee Gas) | 24334,Lake Charles,Commodity,0.08560,$/Dth     ,Gathering,Gathering Locations
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Calicutt #1 Well | 21609,Main,Delhi Madison Parish (To Tennessee Gas) | 24334,Lake Charles,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Calicutt #1 Well | 21609,Main,Delhi Madison Parish (To Tennessee Gas) | 24334,Lake Charles,Reservation,0.00360,$/Dth/day ,Gathering,Gathering Locations
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Calicutt #1 Well | 21609,Main,Bayou Dinde City Gate | 20709,Local,Commodity,0.08560,$/Dth     ,Gathering,Gathering Locations
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Calicutt #1 Well | 21609,Main,Bayou Dinde City Gate | 20709,Local,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Calicutt #1 Well | 21609,Main,Bayou Dinde City Gate | 20709,Local,Reservation,0.00360,$/Dth/day ,Gathering,Gathering Locations
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Calicutt #1 Well | 21609,Main,Avoyelles-Rapides Aggregate | 23404,Main,Commodity,0.08560,$/Dth     ,Gathering,Gathering Locations
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Calicutt #1 Well | 21609,Main,Avoyelles-Rapides Aggregate | 23404,Main,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Calicutt #1 Well | 21609,Main,Avoyelles-Rapides Aggregate | 23404,Main,Reservation,0.00360,$/Dth/day ,Gathering,Gathering Locations
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Calicutt #1 Well | 21609,Main,BBT Mississippi Petal Delivery | 23109,System,Commodity,0.08560,$/Dth     ,Gathering,Gathering Locations
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Calicutt #1 Well | 21609,Main,BBT Mississippi Petal Delivery | 23109,System,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Calicutt #1 Well | 21609,Main,BBT Mississippi Petal Delivery | 23109,System,Reservation,0.00360,$/Dth/day ,Gathering,Gathering Locations
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Alabama Bend Common Point | 22109,System,Abbeville Asphalt Plant System | 1400132,GCZ,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Alabama Bend Common Point | 22109,System,Delhi Madison Parish (To Tennessee Gas) | 24334,Lake Charles,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Alabama Bend Common Point | 22109,System,Bayou Dinde City Gate | 20709,Local,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Alabama Bend Common Point | 22109,System,Avoyelles-Rapides Aggregate | 23404,Main,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,Alabama Bend Common Point | 22109,System,BBT Mississippi Petal Delivery | 23109,System,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,A C Goodson #1 Well | 1699,Zone 1,Abbeville Asphalt Plant System | 1400132,GCZ,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,A C Goodson #1 Well | 1699,Zone 1,Delhi Madison Parish (To Tennessee Gas) | 24334,Lake Charles,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,A C Goodson #1 Well | 1699,Zone 1,Bayou Dinde City Gate | 20709,Local,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,A C Goodson #1 Well | 1699,Zone 1,Avoyelles-Rapides Aggregate | 23404,Main,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-P,A C Goodson #1 Well | 1699,Zone 1,BBT Mississippi Petal Delivery | 23109,System,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-SC,Tristate Midstream  Harrison County TX | 21734,GCZ,Abbeville Asphalt Plant System | 1400132,GCZ,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-SC,Tristate Midstream  Harrison County TX | 21734,GCZ,Abbeville Asphalt Plant System | 1400132,GCZ,Commodity,0.95500,$/Dth     ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-SC,Tristate Midstream  Harrison County TX | 21734,GCZ,Abbeville Asphalt Plant System | 1400132,GCZ,Fuel,1.08000,%         ,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-SC,Tristate Midstream  Harrison County TX | 21734,GCZ,Delhi Madison Parish (To Tennessee Gas) | 24334,Lake Charles,ACA,0.00130,$/Dth,System,Entire System
"Gulf South Pipeline Company, LP",07/01/2018,FTS-SC,Tristate Midstream  Harrison County TX | 21734,GCZ,Delhi Madison Parish (To Tennessee Gas) | 24334,Lake Charles,Commodity,0.95500,$/Dth     ,System,Entire System
